asin,average,rating_count,text_reviews_count,genres,rank,verifiedTrue_count,Format,am_countText_before,am_countText_after
0002318350,4.47,531,531," Literature & Fiction, Literary",7603389,427," School & Library Binding,  Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",24329,11405
0002247402,4.51,358,358," Science Fiction & Fantasy, Fantasy",19432097,311,,10943,5318
0002550296,4.73,81,81," Cookbooks, Food & Wine, Regional & International",37169,63," Paperback,  Hardcover",5165,2343
0002171856,4.63,3239,3239," History, Military",2090149,2876," Kindle Edition,  Paperback,  Hardcover",131881,61292
0002250101,4.47,348,348,na,1105963,225," School & Library Binding,  Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",28332,13968
0002251337,4.38,21,21," Cookbooks, Food & Wine, Cooking by Ingredient",119762,14, Hardcover,764,375
0002552868,4.16,458,457," Biographies & Memoirs, True Crime",3307399,305," Kindle Edition,  MP3 CD,  Paperback,  Mass Market Paperback,  Hardcover",37788,18192
0002311216,2.67,83,83," Mystery, Thriller & Suspense, Mystery",7408230,34," Kindle Edition,  Library Binding,  Paperback,  Mass Market Paperback,  Hardcover",12126,5736
0001053655,4.48,50,50, Humor & Entertainment,9799161,43," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",4888,2240
0002315963,4.44,62,62," Literature & Fiction, United States",3654070,52," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",2910,1403
0002261839,4.04,25,25," Literature & Fiction, Contemporary",15984881,14," Kindle Edition,  Paperback,  Hardcover",2097,969
0002261499,4.07,76,76," Literature & Fiction, Short Stories & Anthologies",3433879,50," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3911,1875
0002550326,4.18,34,34," Cookbooks, Food & Wine, Regional & International",425771,26, Hardcover,1509,757
0002238594,4.28,381,381," Mystery, Thriller & Suspense, Thrillers & Suspense",3755236,214," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",34051,16508
0002000601,4.41,17,17," Biographies & Memoirs, True Crime",4310961,10," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3638,1774
0001837397,4.83,12,12," Childrens Books, Animals",763379,10, Hardcover,482,244
0002310015,4.28,346,346," Mystery, Thriller & Suspense, Mystery",7101351,282," School & Library Binding,  Kindle Edition,  Audio Cassette,  Unknown Binding,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",18708,9355
0002554755,4.66,35,35," Cookbooks, Food & Wine, Baking",156762,29, Hardcover,1037,506
0002558351,4.64,11,11," History, Europe",4266552,3," Paperback,  Hardcover",2904,1452
0002558173,4.8,15,15, Literature & Fiction,812305,13," Paperback,  Hardcover",1005,506
0002261952,3.41,32,32," Literature & Fiction, Fiction",10757559,14," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",4384,2104
0002317184,4.27,41,41," Mystery, Thriller & Suspense, Mystery",4061041,22," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",3363,1693
0002258757,4.28,121,121," Literature & Fiction, Fiction",6709286,79," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",11704,5719
0002247399,4.03,9921,9919," Science Fiction & Fantasy, Fantasy",3396965,8007," DVD,  Kindle Edition,  Library Binding,  Unknown Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",877412,403823
0002261596,4.39,94,94," Literature & Fiction, Fiction",6665762,57," Kindle Edition,  Paperback,  Hardcover",12257,6132
0002727463,4.44,107,107," History, Europe",1280549,81," Kindle Edition,  Paperback,  Hardcover",9841,4788
0002558068,4.05,19,19," Biographies & Memoirs, Leaders & Notable People",5724181,11," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",2361,1125
0002255456,3.42,200,200," Literature & Fiction, Contemporary",14880409,50," Kindle Edition,  Library Binding,  Audio Cassette,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",23859,10598
000231312X,4.35,23,23," Literature & Fiction, Classics",2479720,17," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",637,329
0004111176,4.63,27,27, Reference,193849,25," Paperback,  Hardcover",835,376
0002621037,4.7,54,54," Literature & Fiction, Short Stories & Anthologies",5353619,44," Kindle Edition,  Paperback,  Hardcover",3789,1832
0002711184,3.95,19,19," Literature & Fiction, Literary",14008122,6," Paperback,  Hardcover",4589,2163
0002158663,4.65,17,17," Reference, Writing, Research & Publishing Guides",1788342,9," Paperback,  Hardcover",1872,870
0002254425,3.4,52,52," Literature & Fiction, Fiction",7574776,9," Mass Market Paperback,  Hardcover,  Audio Cassette",9490,4387
0002255081,3.23,13,13," Literature & Fiction, World Literature",19083696,0," Paperback,  Hardcover",2274,1110
0002246791,3.63,274,274," Literature & Fiction, Fiction",2279117,118," Kindle Edition,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",52186,25246
0002257610,4.67,15,15," Literature & Fiction, Contemporary",5753784,13," Kindle Edition,  Paperback,  Hardcover",737,345
0002614545,4.62,200,200,na,2005007,137," Kindle Edition,  Paperback,  Hardcover",33800,16580
0002239221,4.21,14,14," Mystery, Thriller & Suspense, Mystery",924975,7," Audio CD,  Paperback,  Hardcover,  Audio Cassette",1465,758
0002555948,4.9,40,40," Crafts, Hobbies & Home, Pets & Animal Care",4549339,25," Unknown Binding,  Hardcover",3666,1707
0004709810,3.82,11,11," History, Military",7311891,5, Paperback,1269,577
0002247186,4.37,65,65," Science Fiction & Fantasy, Fantasy",1503617,41," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",5801,2722
0004704746,3.84,745,745," Literature & Fiction, Dramas & Plays",4535449,567," Kindle Edition,  Unknown Binding,  Leather Bound,  Paperback,  Hardcover",56214,26702
0002434652,4.58,66,66," Literature & Fiction, Contemporary",9168646,58," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",3257,1552
0002317850,4.62,249,249," Literature & Fiction, British & Irish",2066753,194," Kindle Edition,  Library Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",14813,7216
0002726874,4.63,252,252," Biographies & Memoirs, Leaders & Notable People",3085994,186," Audible Audiobook,  Kindle Edition,  Paperback,  Hardcover",28169,13788
0002216639,4.48,42,42," Romance, Historical",4665082,26," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",3325,1614
0004707532,3.57,14,14," Reference, Dictionaries & Thesauruses",4453556,2, Vinyl Bound,1195,557
000612609X,4.65,321,321," Literature & Fiction, Fiction",2156758,239," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",28074,13512
0006140424,4.11,28,28," Mystery, Thriller & Suspense, Thrillers & Suspense",8695437,18," Kindle Edition,  Paperback",3728,1820
0006137741,4.07,44,44," Literature & Fiction, Fiction",848626,35," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2470,1136
0006151353,4.09,23,23," Literature & Fiction, Action & Adventure",1282369,16," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1876,915
0003303209,4.45,20,20," Biographies & Memoirs, Specific Groups",2601121,14," Paperback,  Hardcover",3663,1708
0006157505,4.09,58,58," Literature & Fiction, Action & Adventure",1008962,42," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",5931,2948
0006163807,4.5,26,26," Literature & Fiction, Fiction",5554572,25," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1635,756
0006166032,4.6,178,178," Literature & Fiction, Action & Adventure",16176648,125," Kindle Edition,  Digital,  MP3 CD,  Audio CD,  Paperback,  Hardcover",16478,8276
000274080X,4.57,203,203,"Art & Photography, Music",5840213,128," Mass Market Paperback,  Paperback,  Hardcover",14999,6882
0006159915,4.29,59,59," Literature & Fiction, Action & Adventure",1026876,34," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",5774,2824
0006143490,4.42,19,19," Literature & Fiction, Fiction",3875786,10," Mass Market Paperback,  Paperback,  Hardcover",1762,836
0006158110,4.39,59,59," Literature & Fiction, Action & Adventure",1120099,40," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",5717,2824
0006140459,4.27,92,92," Mystery, Thriller & Suspense, Mystery",11297639,54," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",9907,4872
0006161413,4.42,85,85," Literature & Fiction, Action & Adventure",89966,57," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",7700,3800
0006168124,4.33,189,189," Literature & Fiction, Action & Adventure",8598804,120," Kindle Edition,  Audio Cassette,  MP3 CD,  Paperback,  Mass Market Paperback,  Hardcover",16993,8618
0002259842,4.37,1553,1553," Literature & Fiction, Fiction",5369513,655," Kindle Edition,  Unknown Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",171463,80799
000613145X,3.69,13,13, Literature & Fiction,11726926,8," Kindle Edition,  Paperback,  Hardcover",1011,525
0006174426,4.42,62,62," Mystery, Thriller & Suspense, Thrillers & Suspense",5731167,41," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",5826,2769
000617695X,4.26,152,152," Literature & Fiction, Fiction",8400482,72," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",19182,8844
0006173624,4.64,885,885," Literature & Fiction, Contemporary",600775,634," School & Library Binding,  Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",64070,31329
0006172768,4.5,834,834," Literature & Fiction, Fiction",2799036,546," Kindle Edition,  Library Binding,  Audio Cassette,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",60156,29036
0006176909,4.14,257,257," Mystery, Thriller & Suspense, Thrillers & Suspense",540866,200," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",11485,5625
0006174531,3.11,18,18," Literature & Fiction, Action & Adventure",2200837,12," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2146,1026
0006179312,4.57,250,250," Literature & Fiction, Fiction",2445962,177," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",12489,5889
0006178693,4.34,109,109," Literature & Fiction, Fiction",3237171,85," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",6013,2776
0006167004,4.27,271,271," Literature & Fiction, Fiction",1625174,201," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",17961,8175
0006170269,4.5,26,26," Literature & Fiction, Action & Adventure",700605,23," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1471,758
0006171044,4.11,19,19," Literature & Fiction, Short Stories & Anthologies",4414859,12," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2708,1346
0006167934,4.54,24,24," Mystery, Thriller & Suspense",7661427,16," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2135,1081
000617681X,4.73,15,15," Literature & Fiction, Fiction",407058,8," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2201,1110
0006123767,4.06,196,196," Mystery, Thriller & Suspense, Mystery",18198357,132," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",15795,7414
0006170072,4.89,19,19," Literature & Fiction, Fiction",7312158,8," Audible Audiobook,  Kindle Edition,  Paperback",5142,2525
0006152465,3.99,895,895," Literature & Fiction, Action & Adventure",18114420,444," Kindle Edition,  Unknown Binding,  Paperback,  Mass Market Paperback,  Hardcover",136983,63998
0006166512,4.32,62,62," Mystery, Thriller & Suspense",9363543,34," Kindle Edition,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",7684,3793
0006280544,4.66,3268,3267," Christian Books & Bibles, Theology",2801631,2564," Kindle Edition,  Audio Cassette,  MP3 CD,  Leather Bound,  Audio CD,  Paperback,  Board book,  Mass Market Paperback,  Audible Audiobook,  Hardcover",246059,115163
0006280943,4.42,216,216, History,4910402,128," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  MP3 Music,  Hardcover",37617,18005
0006160999,4.51,68,68, Literature & Fiction,10506610,40," Mass Market Paperback,  Audible Audiobook,  Kindle Edition,  Paperback",6449,3085
0006178731,4.45,235,235," Literature & Fiction, Fiction",4221550,159," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",14169,6558
0006142737,4.15,34,34," Literature & Fiction, Fiction",3867963,25," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2333,1152
000616546X,4.07,102,102," Literature & Fiction, Fiction",6742858,51," Kindle Edition,  Audio Cassette,  MP3 CD,  Paperback,  Mass Market Paperback,  Hardcover",13146,6327
0006171982,4.62,98,98," Literature & Fiction, Fiction",3034419,72," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",6641,3437
0006158048,4.22,257,257," Literature & Fiction, Fiction",316208,198," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Hardcover",16994,8432
0006280560,4.61,1327,1327, History,2341763,991," Kindle Edition,  Unknown Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",97542,45496
0006177980,4.29,117,117,na,595245,100," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",5305,2504
0006176976,4.53,210,210," Literature & Fiction, Fiction",993205,144," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",16459,8062
0006280897,4.51,391,391," Self-Help, Relationships",3027813,286," Kindle Edition,  Audio Cassette,  MP3 CD,  Audio CD,  Paperback,  Hardcover",31646,15188
0006162754,4.36,280,280," Mystery, Thriller & Suspense, Mystery",6309793,189," Kindle Edition,  Library Binding,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",22074,10709
000636540X,4.6,20,20, Biographies & Memoirs,2237925,20," Kindle Edition,  Paperback,  Hardcover",623,275
0006172059,4.68,207,206," Literature & Fiction, Fiction",1452308,125," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",12210,5577
0006176666,4.26,136,136," Literature & Fiction, Fiction",3820503,92," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",11887,5617
0006222471,4.45,20,20," Christian Books & Bibles, Worship & Devotion",1004006,16," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1308,650
0006238599,4.31,154,154," Religion & Spirituality, Worship & Devotion",7569214,114," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",14026,6633
0006371949,4.66,160,160," History, World",5033094,132," Kindle Edition,  Paperback,  Hardcover",14966,7144
0006278000,4.41,17,17," Literature & Fiction, World Literature",714396,11," Kindle Edition,  Paperback,  Hardcover",2153,1066
000470763X,4.75,28,28," Reference, Dictionaries & Thesauruses",1520184,9, Paperback,2754,1318
0006375219,4.57,35,35," Biographies & Memoirs, Historical",626731,19, Paperback,5575,2713
0006364942,4.69,16,16, Biographies & Memoirs,2137927,9," Kindle Edition,  Paperback,  Hardcover",1174,542
0002261944,4.18,108,108," Lesbian, Gay, Bisexual & Transgender Books, Literature & Fiction",2728667,47," Kindle Edition,  Perfect Paperback,  Paperback,  Hardcover",21711,10323
0006162592,4.57,49,49," Literature & Fiction, Action & Adventure",327630,40," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3120,1596
0006167357,4.39,33,33," Literature & Fiction, Action & Adventure",1095659,20," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2993,1458
0006383475,4.17,92,92," History, Middle East",2205272,63," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Hardcover",8313,4117
0006280935,4.46,446,446, History,3652706,300," Kindle Edition,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",72255,33648
0006140823,4.66,1156,1156," Literature & Fiction, Fiction",6131167,910," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",64862,31319
0006172482,4.11,65,65," Literature & Fiction, Action & Adventure",593888,50," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",5180,2634
0006275192,4.67,390,390," Christian Books & Bibles, Christian Living",406983,287," Kindle Edition,  Paperback",30964,14069
0006388876,4.58,12,12, Biographies & Memoirs,295958,6, Paperback,1826,929
0006377408,4.42,121,121," Politics & Social Sciences, Anthropology",15112451,94," Kindle Edition,  Paperback",14146,7235
0006383483,4.21,175,175," Religion & Spirituality, Religious Studies",1839365,74," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",31707,15652
0006380727,3.89,36,36," History, Asia",666217,22," Kindle Edition,  Paperback,  Hardcover",3137,1546
0006281575,4.46,13,13," Literature & Fiction, Essays & Correspondence",1141674,9," Audible Audiobook,  Audio CD,  Hardcover",2412,994
0006361684,4.52,21,21," Biographies & Memoirs, Memoirs",1389771,15," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1116,533
0006172776,4.4,25,25," Literature & Fiction, Action & Adventure",700756,19," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",2180,1098
0006162665,3.22,18,18," Literature & Fiction, Action & Adventure",2223153,12," Mass Market Paperback,  Kindle Edition,  Paperback",1698,853
0006393217,4.47,17,17," Literature & Fiction, Short Stories & Anthologies",10513938,5," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",3478,1659
0006281052,4.42,113,113," Christian Books & Bibles, Christian Living",69864,86," Mass Market Paperback,  Paperback",5842,2566
000617454X,4.37,429,429," Literature & Fiction, Contemporary",5322972,304," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",23253,11322
0006353282,4.39,161,161," Biographies & Memoirs,Art & Literature",3497285,119," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",16084,7409
0006472087,3.66,73,73," Literature & Fiction, Action & Adventure",4373574,30," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",7779,3745
0006476589,4.31,147,147," Literature & Fiction, Womens Fiction",3002339,105," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",8171,3877
0006472613,4.61,430,430," Literature & Fiction, Fiction",5199811,320," Kindle Edition,  Audio Cassette,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",20783,9854
0006470181,4.42,38,38, Literature & Fiction,254360,15," Paperback,  Hardcover",6838,3267
0006479227,4.34,473,473," Science Fiction & Fantasy, Science Fiction",2158477,242," Kindle Edition,  Library Binding,  MP3 CD,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",55028,25729
0006345530,4.45,33,33," Literature & Fiction, Contemporary",780711,27," Kindle Edition,  Paperback,  Hardcover,  Audio Cassette",1505,693
0006387152,4.33,21,21," Biographies & Memoirs, Historical",362791,9," Kindle Edition,  Paperback,  Hardcover",4129,2150
0006379478,4.16,67,67," History, Military",16177772,40," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",6089,2971
0006477097,4.06,48,48," Literature & Fiction, Contemporary",554453,43," Mass Market Paperback,  Kindle Edition,  Paperback,  Hardcover",1170,582
0006480160,4.15,13,13," Science Fiction & Fantasy, Science Fiction",333618,11, Paperback,482,224
0006392903,3.88,108,108," Literature & Fiction, Fiction",14776113,17," Audible Audiobook,  Kindle Edition,  Paperback,  Hardcover",27978,13813
0006391893,3.33,49,49," Mystery, Thriller & Suspense, Mystery",11885471,5," Mass Market Paperback,  Paperback,  Hardcover,  Audio Cassette",9733,4640
0006479286,3.82,17,17," Literature & Fiction, Contemporary",3426263,12," Kindle Edition,  Audio Cassette,  Paperback,  Mass Market Paperback,  Hardcover",3135,1526
0006482449,4.45,38,38," Literature & Fiction, Contemporary",14826174,14," Mass Market Paperback,  Kindle Edition,  Paperback,  Audio CD",8868,4394
0006486029,4.57,1028,1027," Science Fiction & Fantasy, Fantasy",3210837,684," Kindle Edition,  MP3 CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",112828,53029
0006476414,4.5,1067,1067," Literature & Fiction, Fiction",1873032,689," Kindle Edition,  Library Binding,  Audio Cassette,  Unknown Binding,  Audio CD,  Paperback,  Mass Market Paperback,  Audible Audiobook,  Hardcover",68986,33257
0006482643,4.09,53,53," Science Fiction & Fantasy, Science Fiction",2426565,19," Kindle Edition,  Paperback,  Mass Market Paperback,  Hardcover,  Spiral-bound",9090,4258
